Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,cluster_id,cluster_label,style_description
Circles,Post Malone,0.09175861798995935,0.7209146604156376,0.691625902059929,-0.7228805914767017,0.010031491933014407,-0.13563943280328836,0.1130450219269438,7,C7,Danceability / Loudness / Valence
Death By A Thousand Cuts,Taylor Swift,0.14992362640441323,0.5595202502863758,-0.4143242779265109,-0.4994891333137386,0.9414441859854286,-0.1513962023033052,-0.8642898440553395,1,C1,Danceability
Small Talk,Katy Perry,1.1241875173465148,-0.0674349582926791,0.0006219039956628842,-0.1401202658341892,-0.11640462038179293,-0.1513962023033052,0.41376344222918454,7,C7,Danceability / Loudness / Valence
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0.4989136768911364,-1.0109715098175938,-0.008660239261916811,-0.6548918868184086,1.3713269678557736,-0.1513962023033052,1.7891079821409046,7,C7,Danceability / Loudness / Valence
Wow.,Post Malone,1.029669378673027,-0.6385228710577587,-0.6360643668575814,0.617468157501077,-0.28498610346820274,-0.1513962023033052,-0.5458821049117902,1,C1,Danceability
Mariners Apartment Complex,Lana Del Rey,-1.166059688972604,-2.4200688597923015,-2.4808043935306423,-0.8394326566052043,2.2437361428279443,-0.1513962023033052,-1.5453286194457088,4,C4,Acousticness
"Nicki Nicole: Bzrp Music Sessions, Vol. 13","Bizarrap, Nicki Nicole",0.8624449794814731,-1.060631328318905,0.17251344580269426,-0.625753870536283,-0.9466684245823612,-0.1513962023033052,-0.5193481266498278,1,C1,Danceability
Time - Edit,NF,-0.19179579803050245,0.3795034082191222,0.5719893889622352,-0.43150042865544547,-0.43249490116881134,-0.1513962023033052,-1.1119403078336556,1,C1,Danceability
Afterglow,Taylor Swift,0.4698311726839095,-1.1971958291975109,-1.099140180485724,-0.781156624040953,-0.42406582701449086,-0.1513962023033052,-0.48396948896721115,1,C1,Danceability
Bezerk (feat. A$AP Ferg),"Big Sean, Hit-Boy",-0.05365390304617452,0.28018377121650023,0.30108831907435374,0.8311469435699984,-0.9045230538107587,-0.1513962023033052,-1.076561670151039,1,C1,Danceability
Love song,Lana Del Rey,-2.2348417185881932,-3.5498297306971334,-3.7689596078325356,-0.7520186077588273,3.0992871694914736,-0.1513962023033052,-0.9748480868135164,4,C4,Acousticness
